ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
TAG,15/06/2021,8.52,29.7,102,47,9.75,6.9,125,40.7,0.65,3.99,6.34,11.3,280,0.034,8.09,108,2,1.4
TAG,20/07/2021,8.58,30,94,48,9.77,6.5,125,40.2,0.32,3.85,6.35,8.5,260,0.047,8.67,116,,1
TAG,17/08/2021,8.67,28.5,74,49,9.16,6,121,36.9,0.38,3.41,6.01,10,780,0.046,8.94,116,1.5,1.3
TAG,14/09/2021,8.37,29.6,78,48,7.38,5.7,117,33,0.44,3.55,5.58,13.9,1100,0.084,8.62,115,2.5,1.5
TAG,19/10/2021,8.24,29.4,81,49,7.02,5.4,112,30.7,0.59,3.2,5.65,12.1,3900,0.027,7.43,99,1.5,1.4
TAG,17/11/2021,8.61,29.4,89,50,7.51,5.2,122,31.3,0.66,3.05,5.11,12.3,52000,0.026,7.66,100,2,1.5
TAG,06/12/2021,8.41,28.4,81,49,10.1,5,125,40.2,0.72,3.67,5.52,11.4,20000,0.045,7.06,91,2,1.4
DCH,26/01/2021,7.68,28.2,138,51,8.76,6,136,37.9,0.45,3.89,5.15,12.7,8200,0.031,6.75,88,2.5,0.9
DCH,23/02/2021,7.32,28.8,90,51,9.7,5.6,129,39.6,0.68,3.75,6.49,6.6,9800,0.059,7.23,95,2,1.4
DCH,16/03/2021,7.47,28.7,124,49,8.89,4.7,129,38.2,0.62,3.89,6.26,9.3,3700,0.104,6.82,89,2,1.7
DCH,20/04/2021,7.69,29.6,86,50,9.93,6.2,132,39.2,0.58,3.52,7.04,8.8,2000,0.071,7.66,102,1.5,2.4
DCH,18/05/2021,7.07,29,100,43,6.76,8.2,114,31.9,0.3,3.66,7.08,2.1,3100,0.08,6.98,92,1.5,2.3
DCH,15/06/2021,7.27,25.4,86,31,4.9,5.8,91,28.2,0.55,3.89,5.72,0.5,20000,0.113,6.93,86,0.9,17.6
DCH,20/07/2021,7.44,28.2,70,40,6.6,6.6,110,30,0.24,3.29,6.63,1.4,11000,0.057,6.83,89,,2.3
DCH,17/08/2021,8.29,28.5,102,47,8.68,6.1,115,35.7,0.41,3.41,6,10.2,560,0.037,8.14,106,1.2,3.3
DCH,14/09/2021,8.25,29.8,62,49,7.13,5.7,117,31.4,0.51,3.31,5.85,8.2,200,0.061,7.9,104,2,2.2
DCH,19/10/2021,8.48,29.6,86,50,7,5.3,115,31.8,0.66,3.47,5.67,10.9,3400,0.026,8.11,108,2.5,1.3
DCH,17/11/2021,8.32,29.4,94,62,7.72,5.2,126,33,0.72,3.33,5.45,11.4,13000,0.026,6.83,90,2,1.7
DCH,06/12/2021,8.63,28.3,83,52,10.1,5.2,129,42,0.77,4.08,5.75,12.1,14000,0.038,7.09,91,2,1.4
TAG,26/01/2022,8.21,28.9,94,55,8.44,5.4,130,36.7,0.64,3.79,3.58,6.7,130,0.016,7.67,100,3,1
TAG,09/02/2022,8.1,28.9,97,55,9.19,5.6,130,38.6,0.76,3.8,6.6,8.8,130,0.015,7.39,96,3,0.8
TAG,22/03/2022,8.28,29.2,134,56,10.14,8,136,41.2,0.66,3.87,5.86,7.7,136,0.026,8.2,107,3,0.9
